ESPECIE;TAMANO_ADULTO_(g);TAMANO_DE_LA_CAMADA;CAMADAS_POR_ANO;N_DESCENDIENTES_POR_ANO;LONGEVIDAD_MAXIMA_(meses);DISTRIBUCION_GEOGRAFICA_A_NIVEL_GLOBAL_(Km2);PERIODO_DEL_DIA_DE_ACTIVIDAD;NIVEL_TROFICO;VOLADOR_O_TERRESTRE;DENSIDAD_DE_POBLACION(n/km2);GROUP_SIZE;HETEROCIGOSIDAD;HOME_RANGE_(km2);PREVALENCIA_DEL_VIRUS;CONTINENTES;ECOSISTEMAS;DIVERSIDAD_GENETICA
Alopex lagopus;5200;7.29;1;7.29;180;16988520;nocturno;carnivoro;terrestre;0.1;3;0.684;14.3;0.01;EAA;Grassland;0.015
Artibeus lituratus;59.3;0.98;2;1.96;130.8;14275190;nocturno;herbivoro;volador;-;12;0.653;0.025;0.093;America;AFC;0.03
Axis axis;69500;1;1;1;249.6;2041090;diurno;herbivoro;terrestre;6.7;13.1;0.76;0.68;0.000001;Asia;FSGSh;0.001
Bubalus bubalis;919000;1;1;1;339;978657;diurno;herbivoro;terrestre;1.08;15;0.582;3.63;-;Asia;GW;0.173
Bos taurus;613000;1;1;1;240;122789000;diurno;herbivoro;terrestre;13.71;45;0.33;10.2;0.0000462;todos;Agroecosistema;0.147
Callithrix jacchus;291;2.14;2;4.28;201.6;604264;diurno;omnivoro;terrestre;512;8.7;0.35;0.02;-;America;FSGSh;0.083
Camelus dromedarius;488000;1;1;1;480;30370000;diurno;herbivoro;terrestre;0.97;11;0.551;200;0.000001;AAO;Desert;0.077
Canis latrans;12000;5.69;1;5.69;262;17099094;nocturno;omnivoro;terrestre;0.25;2.1;0.425;19;0.000001;America;todos;0.031
Canis lupus familiaris;40000;6;1;6;288;128928000;diurno;omnivoro;terrestre;2.32;-;0.618;0.48;0.01;todos;todos;0.125
Canis lupus;35000;4.97;2;9.94;354;50803441;nocturno;carnivoro;terrestre;0.01;7;0.719;164;0.105;EAA;todos;0.076
Canis mesomelas;8330;3.64;1;3.64;168;6248780;nocturno;omnivoro;terrestre;0.74;2;0.699;12;-;Africa;todos;0.017
Capra hircus;46900;1.5;1;1.5;249.6;122789000;diurno;herbivoro;terrestre;7.69;5.83;0.673;99.5;0.000001;todos;Agroecosistema;0.154
Cerdocyon thous;5740;3.09;1.9;5.871;138;7091683;nocturno;omnivoro;terrestre;3.59;2;0.616;1.42;-;America;todos;0.054
Civettictis civetta;12100;2.39;2.2;5.258;336;14207679;nocturno;omnivoro;terrestre;0.108;15;-;5.92;-;Africa;FSShA;0.099
Cynictis penicillata;694;2.14;2;4.28;182.4;2233627;diurno;carnivoro;terrestre;34;4;-;1.89;-;Africa;FSGSh;0.075
Desmodus rotundus;33;1;1.26;1.26;234;17803913;nocturno;carnivoro;volador;-;31.5;0.6535;0.35;0.121;America;AFC;0.051
Eptesicus furinalis;7.7;1.86;2;3.72;240;15960672;nocturno;carnivoro;volador;-;-;-;-;0.0491;America;AFC;0.068
Eptesicus fuscus;17.49;1.85;1;1.85;240;13321726;nocturno;carnivoro;volador;-;50;0.886;0.29;0.04869;America;AFC;0.101
Equus caballus;400000;1;1;1;744;122789000;diurno;herbivoro;terrestre;0.488;15.57;0.72;15.7;0.000001;todos;Agroecosistema;0.231
Felis catus;2884.8;4;1;4;408;128928000;nocturno;carnivoro;terrestre;1.78;1;0.633;0.9;0.000001;todos;todos;0.197
Homo sapiens;62.035;1;0.3;0.3;1464;128928000;diurno;omnivoro;terrestre;58.67;147.8;0.703;29.03;0.000001;todos;Artificial;0.166
Lasionycteris noctivagans;10.9;1.86;1;1.86;144;10115944;nocturno;carnivoro;volador;-;30.5;0.8;30;0.0815;America;AFC;0.028
Lasiurus borealis;12.3;2.99;1;2.99;-;2598559;nocturno;carnivoro;volador;-;1;0.812;1.47;0.1437;America;Forest;0.032
Lasiurus cinereus;26.8;2;1;2;168;21759653;nocturno;carnivoro;volador;-;1;0.821;0.94;0.339;America;Forest;0.016
Lasiurus ega;12.1;2;1;2;-;17638666;nocturno;carnivoro;volador;-;3;0.633;-;0.169;America;Forest;0.094
Lasiurus intermedius;22.9;2.97;1;2.97;-;1863284;nocturno;carnivoro;volador;-;1;-;1.47;0.483;America;Forest;0.09
Lasiurus seminolus;9.87;2.45;1;2.45;-;1335371;nocturno;carnivoro;volador;-;1.5;-;1.06;0.192;America;Forest;0.019
Melogale moschata;939;2;2;4;126;1476534;diurno;omnivoro;terrestre;-;-;-;2.33;0.000001;Asia;FSGSh;0.127
Mephitis mephitis;2400;5.69;2;11.38;228;12277339;diurno;omnivoro;terrestre;8.21;1;0.828;1.08;0.0856;America;FSShA;0.096
Molossus molossus;13.8;0.98;2;1.96;67.2;16567170;nocturno;carnivoro;volador;-;9.6;-;-;0.032;America;Forest;0.191
Myotis californicus;4.39;0.98;1;0.98;180;3994128;nocturno;carnivoro;volador;-;25;-;0.0193;0.044;America;AFC;0.063
Myotis evotis;6.86;0.98;1;0.98;264;3119769;nocturno;carnivoro;volador;-;30;-;0.301;0.022;America;AFC;0.043
Myotis lucifugus;7.77;1;1;1;408;13081713;nocturno;carnivoro;volador;-;37500;0.783;0.63;0.01538;America;AFC;0.059
Myotis nigricans;4.24;0.98;3;2.94;84;14531339;nocturno;carnivoro;volador;-;75;-;-;-;America;AFC;0.076
Myotis yumanensis;5.15;0.98;1;0.98;105.96;3753877;nocturno;carnivoro;volador;-;10000;-;1.16;0.0437;America;AFC;0.062
Nyctereutes procyonoides;4220;6.24;1;6.24;168;6704449;diurno;omnivoro;terrestre;12;2;0.685;3.85;-;EA;FSShA;0.084
Nyctinomops laticaudatus;13;0.98;1;0.98;-;13392624;nocturno;carnivoro;volador;-;40;0.934;1.14;0.125;America;AFC;0.056
Otocyon megalotis;4000;3.74;2;7.48;165.6;5001823;nocturno;carnivoro;terrestre;1.2;2;-;0.73;-;Africa;FSGSh;0.017
Ovis aries;34200;1.19;1;1.19;230.04;122789000;diurno;herbivoro;terrestre;5.7;-;0.714;0.473;0.000001;todos;Agroecosistema;0.124
Pipistrellus hesperus;3.53;1.96;1;1.96;72.99;2664125;nocturno;carnivoro;volador;-;6;-;-;0.217;America;FGD;0.123
Pipistrellus subflavus;5.7;1.96;1;1.96;180;4297155;nocturno;carnivoro;volador;-;5;0.76;4.63;0.137;America;AFC;0.021
Procyon lotor;6370;3.04;1;3.04;247;11703246;nocturno;omnivoro;terrestre;3.29;1;0.735;2770;0.102;America;Forest;0.02
Rangifer tarandus;108000;1;1;1;242.4;18376464;diurno;herbivoro;terrestre;2.59;100000;0.774;604.1;0.000001;AA;FSGSh;0.018
Sus scrofa domesticus;175000;6;1;6;180;122789000;diurno;omnivoro;terrestre;7.86;20;0.5386;43;0.000001;todos;Agroecosistema;0.181
Tadarida brasiliensis;12.2;1;1;1;180;14001703;nocturno;carnivoro;volador;-;501000;0.867;835;0.3896;America;AFC;0.081
Tragelaphus strepsiceros;205000;1;1;1;276;6476880;diurno;herbivoro;terrestre;1.04;24;0.704;1.84;0.000001;Africa;FSGSh;0.005
Urocyon cinereoargenteus;3830;3.79;1;3.79;180;9010481;nocturno;carnivoro;terrestre;2.43;1;0.691;3.53;0.05;America;FSGSh;0.198
Vulpes vulpes;4840;4.59;1;4.59;180;63034092;diurno;omnivoro;terrestre;1.11;3;0.64;4.1;0.023;AAEO;todos;0.096